,Unnamed: 0,x,y,elevation,ssssHCP1.6f450h0.15,HCP1.6f1530h0.15,HCP1.6f5310h0.15,HCP1.6f18330h0.15,HCP1.6f63030h0.15
26067,26067,344121.15,4482823.11,2107.41,307.3936952,78.63980757,40.99477034,32.06448567,25.58825059
26072,26072,344121.4,4482822.89,2107.41,318.8275093,90.15122677,40.24941087,30.4450672,24.23819565
26077,26077,344121.72,4482822.73,2107.4,262.9777249,75.01823748,39.50405141,30.01322228,23.61026312
26082,26082,344122.1,4482822.64,2107.38,305.1948848,78.76914935,41.36745007,30.33710597,24.67774843
26087,26087,344122.31,4482822.56,2107.37,255.9415316,87.30570741,41.7401298,31.74060197,27.15808192
26092,26092,344122.33,4482822.47,2107.37,273.5320149,99.33449377,44.34888791,33.25205921,28.66511999
26097,26097,344122.34,4482822.42,2107.37,294.2008327,90.53925213,46.21228656,33.57594291,27.40925493
26102,26102,344122.33,4482822.38,2107.38,292.4417844,86.01228952,41.7401298,31.63264074,26.40456288
26107,26107,344122.33,4482822.34,2107.4,315.3094126,82.26137765,42.11280953,30.87691213,26.43595951
26112,26112,344122.34,4482822.29,2107.41,274.8513011,84.84821343,40.99477034,30.01322228,25.49406071
26117,26117,344122.39,4482822.21,2107.42,267.3753457,86.78834026,38.75869195,31.63264074,26.24757975
26122,26122,344122.49,4482822.1,2107.4,284.965829,81.7440105,40.62209061,31.09283459,26.40456288
26127,26127,344122.64,4482821.99,2107.39,302.9960743,95.06621474,41.7401298,30.76895089,26.24757975
26132,26132,344122.84,4482821.89,2107.38,292.0020223,81.09730155,42.48548926,30.55302843,26.7813224
26137,26137,344123.05,4482821.76,2107.38,324.5444164,90.02188498,40.24941087,31.95652444,27.3778583
26142,26142,344123.26,4482821.62,2107.4,310.0322677,83.03742838,45.4669271,33.46798167,28.75930987
26147,26147,344123.47,4482821.46,2107.39,293.3213085,85.49492237,47.70300548,34.76351645,29.9837783
26152,26152,344123.67,4482821.26,2107.35,277.9296357,102.3093549,48.82104467,35.84312876,32.02455903
26157,26157,344123.88,4482821.06,2107.33,339.0565651,84.20150448,46.58496629,36.49089615,31.71059276
26162,26162,344124.1,4482820.87,2107.33,278.3693978,85.36558058,46.58496629,36.05905122,32.02455903
26167,26167,344124.34,4482820.7,2107.34,288.4839256,85.23623879,44.34888791,34.87147768,31.3966265
26172,26172,344124.59,4482820.55,2107.35,298.5984535,82.13203586,49.1937244,36.38293492,33.28042409
26177,26177,344124.85,4482820.42,2107.35,325.8637026,88.21109993,51.42980278,38.54215954,34.53628915
26182,26182,344125.09,4482820.29,2107.35,311.791316,105.284216,49.56640413,38.65012077,34.53628915
26187,26187,344125.35,4482820.2,2107.33,293.3213085,94.93687295,52.17516225,38.43419831,34.53628915
26192,26192,344125.62,4482820.16,2107.29,332.8998959,106.3189504,58.13803793,42.86060879,38.30388432
26197,26197,344125.89,4482820.13,2107.23,354.888,120.8052307,61.4921555,45.55963957,40.81561444
26202,26202,344126.16,4482820.1,2107.15,313.5503643,130.6352066,75.65398526,50.95770113,44.26924336
26207,26207,344126.39,4482820.01,2107.11,358.4060967,125.4615351,78.6354231,51.60546852,44.89717589
26212,26212,344126.58,4482819.86,2107.12,317.508223,129.212447,72.67254741,50.8497399,43.32734456
26217,26217,344126.78,4482819.69,2107.13,342.1348996,120.8052307,66.336992,46.63925188,40.18768191
26222,26222,344127.02,4482819.49,2107.15,335.0987063,121.9693068,58.13803793,44.58798849,37.98991806
